"","year","programTitle","Program Code","PLU","Sum Credits","location","sumFTE","abo","imm","cluster","studentType"
"240","2013-14","Applied Business Technology","ABT","Credits",1.5,"SM",0.0625,"N","01","academic",NA
"241","2013-14","Applied Business Technology","ABT","Credits",3.5,"SM",0.145833333,NA,"01","academic",NA
"242","2013-14","Applied Business Technology","ABT","Credits",0,"SM",0,"N","00","academic",NA
"243","2013-14","Applied Business Technology","ABT","Credits",40,"TE",0.066666667,"N","00","academic",NA
"244","2014-15","Applied Business Technology","ABT","Credits",8,"KN",0.013333333,"Y","00","academic","fn"
"245","2014-15","Applied Business Technology","ABT","Credits",42.429,"SM",0.055246094,NA,"00","academic",NA
"246","2014-15","Applied Business Technology","ABT","Credits",0,"SM",0,"Y","00","academic","fn"
"247","2014-15","Applied Business Technology","ABT","Credits",9.5,"SM",0.395833333,"N","02","academic","ie"
"248","2014-15","Applied Business Technology","ABT","Credits",7.5,"SM",0.3125,"N","01","academic",NA
"249","2014-15","Applied Business Technology","ABT","Credits",77,"SM",3.208333333,NA,"00","academic",NA
"250","2014-15","Applied Business Technology","ABT","Credits",210.5,"SM",8.770833333,"Y","00","academic","fn"
"251","2014-15","Applied Business Technology","ABT","Credits",213.5,"SM",8.895833333,"N","00","academic",NA
"252","2014-15","Applied Business Technology","ABT","Credits",3,"PR",0.125,"N","00","academic",NA
"253","2015-16","Applied Business Technology","ABT","SCH",20,"SM",0.033333333,"Y","00","academic","fn"
"254","2015-16","Applied Business Technology","ABT","SCH",0,"HO",0,"N","00","academic",NA
"255","2015-16","Applied Business Technology","ABT","Credits",3,"SM",0.125,"N","01","academic",NA
"256","2015-16","Applied Business Technology","ABT","Credits",7,"SM",0.291666667,NA,"00","academic",NA
"257","2015-16","Applied Business Technology","ABT","Credits",25.5,"SM",1.0625,"Y","00","academic","fn"
"258","2015-16","Applied Business Technology","ABT","Credits",45.5,"SM",1.895833333,"N","00","academic",NA
"259","2015-16","Applied Business Technology","ABT","SCH",6.5,"TE",0.444444444,"N","01","academic",NA
"260","2015-16","Applied Business Technology","ABT","SCH",26,"TE",1.788888889,NA,"00","academic",NA
"261","2015-16","Applied Business Technology","ABT","SCH",111,"TE",7.588888889,"Y","00","academic","fn"
"262","2015-16","Applied Business Technology","ABT","SCH",226,"TE",15.56666667,"N","00","academic",NA
"263","2015-16","Applied Business Technology","ABT","SCH",7.5,"SM",0.522222222,"N","01","academic",NA
"264","2015-16","Applied Business Technology","ABT","SCH",29.5,"SM",2.022222222,NA,"00","academic",NA
"265","2015-16","Applied Business Technology","ABT","SCH",57.5,"SM",3.988888889,"Y","00","academic","fn"
"266","2015-16","Applied Business Technology","ABT","SCH",23.5,"SM",1.644444444,"N","00","academic",NA
"267","2015-16","Applied Business Technology","ABT","SCH",1,"PR",0.033333333,NA,"00","academic",NA
"268","2016-17","Applied Business Technology","ABT","SCH",48,"TE",0.08,"N","00","academic",NA
